Number,Env,mean,sd,se,ci
1,inspi2,0,0,0,0
1,inspi2cip,0,0,0,0
1,inspi2hypoxic,0.186216719,0.215677697,0.107838848,-0.156974626
1,inspi2lowmg,0,0,0,0
2,inspi2,0.100836652,0.201673303,0.100836652,-0.220070578
2,inspi2cip,0,0,0,0
2,inspi2hypoxic,0.278801529,0.186679725,0.093339862,-0.018247571
2,inspi2lowmg,0.106985793,0.213971586,0.106985793,-0.233490748
3,inspi2,0.549709874,0.017158998,0.008579499,0.522406079
3,inspi2cip,0.113442386,0.226884772,0.113442386,-0.247581916
3,inspi2hypoxic,0.552744281,0.024175315,0.012087658,0.514275959
3,inspi2lowmg,0.386187081,0.257463595,0.128731798,-0.023494953
4,inspi2,0.550774554,0.02133399,0.010666995,0.516827415
4,inspi2cip,0.258639899,0.299092192,0.149546096,-0.217282521
4,inspi2hypoxic,0.561367514,0.017012687,0.008506344,0.534296532
4,inspi2lowmg,0.597566728,0.026333193,0.013166596,0.555664742
5,inspi2,0.554684802,0.013117333,0.006558667,0.533812198
5,inspi2cip,0.274568639,0.317511382,0.158755691,-0.230662824
5,inspi2hypoxic,0.6042992,0.010361358,0.005180679,0.587811967
5,inspi2lowmg,0.630481842,0.022734557,0.011367278,0.594306089
6,inspi2,0.575492957,0.009901363,0.004950682,0.559737678
6,inspi2cip,0.567091371,0.033249152,0.016624576,0.514184551
6,inspi2hypoxic,0.650992065,0.008020664,0.004010332,0.638229399
6,inspi2lowmg,0.655494399,0.013579159,0.00678958,0.633886926
7,inspi2,0.654936559,0.013915165,0.006957583,0.632794426
7,inspi2cip,0.576865205,0.024129808,0.012064904,0.538469295
7,inspi2hypoxic,0.706492443,0.028209934,0.014104967,0.661604143
7,inspi2lowmg,0.700638754,0.008396336,0.004198168,0.68727831
8,inspi2,0.698953337,0.01637195,0.008185975,0.672901911
8,inspi2cip,0.588851246,0.012616606,0.006308303,0.568775411
8,inspi2hypoxic,0.734911974,0.007952542,0.003976271,0.722257705
8,inspi2lowmg,0.706747476,0.015159776,0.007579888,0.68262489
9,inspi2,0.72119578,0.009918545,0.004959273,0.70541316
9,inspi2cip,0.692215962,0.053308538,0.026654269,0.607390181
9,inspi2hypoxic,0.755458626,0.005744936,0.002872468,0.74631715
9,inspi2lowmg,0.725883846,0.018619999,0.009309999,0.696255272
10,inspi2,0.722984306,0.03218864,0.01609432,0.671764997
10,inspi2cip,0.708697122,0.01918555,0.009592775,0.678168631
