Genes,aTc,W
b0119_1,aTc_0,0.807728318
b0119_1,aTc_2,1.232513993
b0119_1,aTc_4,0.921268056
b0119_1,aTc_6,0.943638464
b0119_1,aTc_8,0.985295207
b0119_2,aTc_0,0.491058172
b0119_2,aTc_2,0.882799941
b0119_2,aTc_4,1.147391406
b0119_2,aTc_6,1.726006798
b0119_2,aTc_8,1.415099143
b0119_3,aTc_0,0.77502556
b0119_3,aTc_2,1.018243629
b0119_3,aTc_4,0.778558389
b0119_3,aTc_6,0.735132902
b0119_3,aTc_8,1.744253574
b0119_4,aTc_0,0.705715214
b0119_4,aTc_2,0.948301054
b0119_4,aTc_4,0.838964511
b0119_4,aTc_6,1.20534292
b0119_4,aTc_8,1.115577872
b0127_1,aTc_0,0.836718545
b0127_1,aTc_2,1.039585001
b0127_1,aTc_4,0.741343661
b0127_1,aTc_6,1.112033677
b0127_1,aTc_8,1.050196498
b0127_2,aTc_0,0.574266361
b0127_2,aTc_2,1.223893789
b0127_2,aTc_4,0.956732748
b0127_2,aTc_6,2.030404128
b0127_2,aTc_8,1.428945304
b0127_3,aTc_0,0.863455293
b0127_3,aTc_2,1.013973081
b0127_3,aTc_4,0.875143868
b0127_3,aTc_6,0.985134154
b0127_3,aTc_8,0.889498312
b0127_4,aTc_0,0.755179818
b0127_4,aTc_2,1.249534255
b0127_4,aTc_4,1.236685575
b0127_4,aTc_6,1.382238848
b0127_4,aTc_8,1.017175439
b0179_1,aTc_0,0.556823991
b0179_1,aTc_2,1.273965598
b0179_1,aTc_4,1.270079005
b0179_1,aTc_6,1.034510825
b0179_1,aTc_8,1.284775645
b0179_2,aTc_0,0.81160851
b0179_2,aTc_2,0.863142447
b0179_2,aTc_4,0.958684926
b0179_2,aTc_6,1.288486627
b0179_2,aTc_8,1.161920293
b0179_3,aTc_0,1.027128104
b0179_3,aTc_2,1.226106119
b0179_3,aTc_4,0.839928975
b0179_3,aTc_6,0.973893847
b0179_3,aTc_8,2.432648404
b0179_4,aTc_0,0.730730941
b0179_4,aTc_2,0.924959424
b0179_4,aTc_4,0.953476924
b0179_4,aTc_6,1.365707381
b0179_4,aTc_8,0.761951996
b0215_1,aTc_0,0.831102654
b0215_1,aTc_2,1.232075055
b0215_1,aTc_4,0.726428495
b0215_1,aTc_6,0.897053586
b0215_1,aTc_8,0.697796032
b0215_2,aTc_0,0.659341078
b0215_2,aTc_2,0.906967989
b0215_2,aTc_4,0.843765455
b0215_2,aTc_6,0.998250718
b0215_2,aTc_8,1.054387811
b0215_3,aTc_0,0.669387351
b0215_3,aTc_2,1.125186853
b0215_3,aTc_4,0.716182014
b0215_3,aTc_6,0.807043226
b0215_3,aTc_8,1.554713127
b0215_4,aTc_0,0.521653712
b0215_4,aTc_2,0.974240527
b0215_4,aTc_4,0.868123665
b0215_4,aTc_6,0.936388127
b0215_4,aTc_8,1.024694658
b0423_1,aTc_0,0.883483097
