Genes,aTc,W
b0119_1,aTc_0,1.038006925
b0119_1,aTc_2,1.224219366
b0119_1,aTc_4,1.095220947
b0119_1,aTc_6,1.259519748
b0119_1,aTc_8,1.20272973
b0119_2,aTc_0,1.058156754
b0119_2,aTc_2,1.065421845
b0119_2,aTc_4,1.125684335
b0119_2,aTc_6,1.20631703
b0119_2,aTc_8,1.134562074
b0119_3,aTc_0,1.029191779
b0119_3,aTc_2,1.093639274
b0119_3,aTc_4,1.063802704
b0119_3,aTc_6,1.063083394
b0119_3,aTc_8,1.090398008
b0119_4,aTc_0,1.028734076
b0119_4,aTc_2,1.068445261
b0119_4,aTc_4,1.118081626
b0119_4,aTc_6,1.132218444
b0119_4,aTc_8,1.163017912
b0127_1,aTc_0,1.113627502
b0127_1,aTc_2,1.109321224
b0127_1,aTc_4,0.991308271
b0127_1,aTc_6,1.052491082
b0127_1,aTc_8,1.052643051
b0127_2,aTc_0,1.027037834
b0127_2,aTc_2,1.027622145
b0127_2,aTc_4,0.967910571
b0127_2,aTc_6,0.926471647
b0127_2,aTc_8,1.008763854
b0127_3,aTc_0,1.055837952
b0127_3,aTc_2,1.043988167
b0127_3,aTc_4,0.969510123
b0127_3,aTc_6,1.004346211
b0127_3,aTc_8,0.956157962
b0127_4,aTc_0,0.963735621
b0127_4,aTc_2,1.021924551
b0127_4,aTc_4,0.99374447
b0127_4,aTc_6,0.985548222
b0127_4,aTc_8,0.960071045
b0179_1,aTc_0,1.112320809
b0179_1,aTc_2,1.23352788
b0179_1,aTc_4,1.08072429
b0179_1,aTc_6,1.155674884
b0179_1,aTc_8,1.158817658
b0179_2,aTc_0,1.141120183
b0179_2,aTc_2,1.101983273
b0179_2,aTc_4,1.189493807
b0179_2,aTc_6,1.276323284
b0179_2,aTc_8,1.269466005
b0179_3,aTc_0,1.027530295
b0179_3,aTc_2,1.17493794
b0179_3,aTc_4,1.105370102
b0179_3,aTc_6,1.09399862
b0179_3,aTc_8,1.075396772
b0179_4,aTc_0,0.970400175
b0179_4,aTc_2,1.097957796
b0179_4,aTc_4,1.177551557
b0179_4,aTc_6,1.250523758
b0179_4,aTc_8,1.193953916
b0215_1,aTc_0,1.092319451
b0215_1,aTc_2,1.105382542
b0215_1,aTc_4,0.985488123
b0215_1,aTc_6,0.998697561
