gene,inspi2,inspi2,inspi2,inspi2,inspi2lowmg,inspi2lowmg,inspi2lowmg,inspi2lowmg,inspi2cip,inspi2cip,inspi2cip,inspi2cip,inspi2hypoxic,inspi2hypoxic,inspi2hypoxic,inspi2hypoxic,Functional_category
b0119,0.971879496,0.978438057,0.965310648,0.959920766,0.885976502,0.905561253,0.916291704,0.94232095,0.811461861,0.813086114,0.794340995,0.786129674,0.989848377,0.98354026,1.004461153,0.995081546,N
b0127,0.894972097,0.931799099,0.909751745,0.930267531,1.070022767,1.096986903,1.104131472,0.994339398,0.793766814,0.782018346,0.767754411,0.793732147,0.799761686,0.796488283,0.801859843,0.820646825,O
b0179,0.784341656,0.762387395,0.750776356,0.788397247,0.838103506,0.800064889,0.816393541,0.775299579,0.73387246,0.72423886,0.738275919,0.68813224,1.020718953,0.999794309,1.011164055,1.009104717,O
b0215,0.973952346,0.997270219,0.982865104,1.001019515,0.993467125,1.037787893,1.050672165,1.038638279,0.828178073,0.801144108,0.79242918,0.815651579,0.925491231,0.917180331,0.937608279,0.967494425,I
b0423,0.563355291,0.557781219,0.535344045,0.562258653,0.639791343,0.644920084,0.640670075,0.596545866,0.594052133,0.544067827,0.595936338,0.573404521,0.549129182,0.546250283,0.58265528,0.56743531,IO
b0440,0.856042154,0.878703515,0.859689632,0.898857895,0.968069504,1.005109383,0.988003208,0.973517966,1.262286188,1.258392974,1.383575433,1.137868933,0.886240313,0.891053997,0.904249643,0.903243528,I
b0607,0.982565449,0.989354294,0.974750597,0.980256223,0.956599637,0.983795094,0.982932014,0.98201005,0.908677852,0.875585895,0.855793097,0.896785677,0.994125973,0.983018509,0.998905376,0.995514199,O
b0623,0.764256898,0.789862329,0.786449538,0.813725124,0.820659185,0.871817089,0.86114947,0.837287425,0.920504415,0.877964762,0.940651967,0.866811109,0.851054711,0.856325063,0.862773716,0.839359082,I
b0642,0.564631219,0.540653023,0.530023159,0.563532096,0.602871123,0.618226401,0.609964665,0.559204721,0.601452158,0.58196356,0.597286057,0.574703208,0.5394827,0.529067294,0.584148778,0.558278352,I
b0695,0.785239337,0.795431804,0.776378143,0.809456339,1.019695371,1.017453015,1.015580734,0.89686638,0.848841051,0.797593635,0.813742725,0.817993746,0.836503389,0.820840141,0.848667075,0.847153603,O
b0780,0.947686736,0.949590477,0.936412475,0.949200672,0.905962195,0.940050915,0.934521688,0.945840207,0.806111027,0.779411637,0.761372422,0.815454646,0.99122583,0.97869187,0.98923573,0.981768969,N
b0785,1.046594858,1.06289861,1.050274176,1.040722494,1.039245889,1.071762273,1.072357736,1.060683716,0.928734358,0.901941923,0.894924797,0.92347025,1.040790237,1.029001787,1.029114808,1.049239062,O
b0812,0.997680177,1.013466746,0.994384449,0.997981118,0.990650128,1.019014642,1.0259246,1.020630012,0.889357433,0.868433351,0.855531816,0.881299553,1.006033943,1.005422694,0.989915278,1.011745113,O
b0880,0.981290425,1.057385829,1.022002308,1.0026884,1.148393978,1.197348165,1.144948381,1.018341879,0.570216692,0.528057864,0,0,0.782083757,0.807889301,0.826925715,0.813628596,I
b0882,0.865252544,0.905729062,0.866922376,0.915985042,1.289173144,1.255708473,1.25697707,1.043796119,1.079616293,1.057205442,1.083125563,1.042274592,0.796694023,0.792437383,0.818639077,0.83598535,O
b0891,0.842338701,0.836169507,0.822881566,0.834869234,0.802029163,0.846362258,0.837746716,0.852261976,0.851265396,0.87768902,0.913497716,0.804130576,0.946270067,0.938711347,0.926048403,0.907409666,O
b0948,0.99567749,1.009632159,0.981872938,1.002366797,1.026734465,1.075837541,1.054718082,1.026737009,1.036917562,1.014344543,0.992438632,1.035541725,1.010995748,0.988409942,0.994418929,1.007887219,I
