Rank,InSPI2,InSPI2_lowmg,InSPI2_cip,InSPI2_hypoxic
1,1.074381786,1.263865368,1.229265675,0.996633923
2,1.048996318,1.061519956,0.916910465,1.036359388
3,1.018029225,1.130273093,0.55272237,0.804595101
4,0.9997809,1.015384719,0.877598257,1.005977772
5,0.996451095,1.045723933,1.026101915,0.998802367
6,0.990816967,1.032342992,0.813361858,0.93238681
7,0.986317244,0.990151313,0.947406382,1.037584705
8,0.981574411,0.986484893,0.94922249,1.027189009
9,0.981248694,0.95960511,0.903156853,1.012804288
10,0.98084736,0.966515747,0.913789167,1.035241455
11,0.980569177,0.977693555,0.890950137,0.989510307
12,0.970170555,0.978136782,0.891773945,0.985546632
13,0.967021727,0.918527732,0.800643013,0.988957908
14,0.966973851,0.979338868,0.928154557,0.999990322
15,0.957897039,0.957282125,0.916450448,1.014539433
16,0.95306316,1.009156752,0.911993299,0.939062934
17,0.950218844,0.951133997,0.924220913,1.000285257
18,0.945013424,0.934889257,0.799249277,0.983211637
19,0.928046831,0.915403271,0.871870418,1.005352161
20,0.923129069,1.227260342,1.071154591,0.840970165
21,0.919405342,1.062931893,0.787908095,0.803027415
22,0.906566492,0.972298603,0.943856433,0.908487961
23,0.895160672,0.919474157,0.88847776,0.935705809
24,0.892890709,1.217475941,1.062624778,0.805495767
25,0.877483978,0.983727687,1.254785113,0.893385592
26,0.838026377,0.983382726,1.179872564,0.868097339
27,0.83251665,0.839220281,0.855270899,0.933968493
28,0.810805093,0.888796569,0.784537452,0.799270264
29,0.794500017,0.848344236,0.898160127,0.852093357
30,0.793438286,0.985700369,0.823079722,0.832480567
31,0.791059698,0.972097767,0.892892222,0.754592673
32,0.772097251,0.804641276,0.717896243,1.007891399
33,0.733856126,0.709404624,0.565032341,0.761189911
34,0.72960117,0.837045947,0.75871426,0.697233102
35,0.722233369,0.800595579,0.725359648,0.77892883
36,0.69789149,0.725903068,0.4758325,0.812328851
37,0.65664187,0.700767403,0.705705011,0.732713971
38,0.577225849,0.653803561,0.688861537,0.651961272
39,0.553811561,0.628347977,0.578386906,0.55445119
40,0.55060855,0.500545334,0.390218035,0.599327298
41,0.550183507,0.596075345,0.587691357,0.542839781
42,0.368227116,0.380312286,0,0.350044971
43,0,0,0,0.378909645
