Genes,aTc,W
b0119_1,aTc_0,1.095269689
b0119_1,aTc_2,1.215447649
b0119_1,aTc_4,1.085465065
b0119_1,aTc_6,1.141067859
b0119_1,aTc_8,1.07921287
b0119_2,aTc_0,1.101867695
b0119_2,aTc_2,1.068008557
b0119_2,aTc_4,1.094372234
b0119_2,aTc_6,1.197481713
b0119_2,aTc_8,1.189014026
b0119_3,aTc_0,0.932268503
b0119_3,aTc_2,0.975915698
b0119_3,aTc_4,0.931194823
b0119_3,aTc_6,0.978136578
b0119_3,aTc_8,0.961577486
b0119_4,aTc_0,0.923259953
b0119_4,aTc_2,0.986443209
b0119_4,aTc_4,0.92765187
b0119_4,aTc_6,1.000486318
b0119_4,aTc_8,0.992733344
b0127_1,aTc_0,1.118961781
b0127_1,aTc_2,1.109479706
b0127_1,aTc_4,1.008954309
b0127_1,aTc_6,1.042229143
b0127_1,aTc_8,1.008521389
b0127_2,aTc_0,1.110706591
b0127_2,aTc_2,1.037487915
b0127_2,aTc_4,0.988484162
b0127_2,aTc_6,1.016834735
b0127_2,aTc_8,1.014419885
b0127_3,aTc_0,0.975411556
b0127_3,aTc_2,0.973694471
b0127_3,aTc_4,0.822430971
b0127_3,aTc_6,0.890288688
b0127_3,aTc_8,0.850837487
b0127_4,aTc_0,0.951182546
b0127_4,aTc_2,0.932567211
b0127_4,aTc_4,0.826593187
b0127_4,aTc_6,0.84490465
b0127_4,aTc_8,0.869554257
b0179_1,aTc_0,1.09079972
b0179_1,aTc_2,1.203967004
b0179_1,aTc_4,1.094652614
b0179_1,aTc_6,1.070804006
b0179_1,aTc_8,1.058527434
b0179_2,aTc_0,1.146851723
b0179_2,aTc_2,1.168794864
b0179_2,aTc_4,1.151043315
b0179_2,aTc_6,1.208088056
b0179_2,aTc_8,1.209273818
b0179_3,aTc_0,0.953958848
b0179_3,aTc_2,1.042310792
b0179_3,aTc_4,0.960842967
b0179_3,aTc_6,1.007703338
b0179_3,aTc_8,0.977958547
b0179_4,aTc_0,0.940529167
b0179_4,aTc_2,0.975654379
b0179_4,aTc_4,0.968627719
b0179_4,aTc_6,1.011281276
b0179_4,aTc_8,1.014888518
b0215_1,aTc_0,1.033734363
b0215_1,aTc_2,1.078015113
b0215_1,aTc_4,0.995852296
b0215_1,aTc_6,0.991595002
b0215_1,aTc_8,1.012417703
b0215_2,aTc_0,1.137081012
b0215_2,aTc_2,1.074660273
b0215_2,aTc_4,1.017192988
b0215_2,aTc_6,1.090392664
b0215_2,aTc_8,1.109832516
b0215_3,aTc_0,0.955433091
b0215_3,aTc_2,0.968982581
b0215_3,aTc_4,0.88241415
b0215_3,aTc_6,0.935545846
b0215_3,aTc_8,0.854337116
b0215_4,aTc_0,0.957028906
b0215_4,aTc_2,0.951176649
b0215_4,aTc_4,0.858347772
b0215_4,aTc_6,0.903044947
b0215_4,aTc_8,0.899523949
b0423_1,aTc_0,1.065001684
b0423_1,aTc_2,0.53697324
b0423_1,aTc_4,0.413215458
b0423_1,aTc_6,0.407315663
b0423_1,aTc_8,0.390233564
b0423_2,aTc_0,1.028994799
b0423_2,aTc_2,0.42142056
b0423_2,aTc_4,0.372030933
b0423_2,aTc_6,0.376958114
b0423_2,aTc_8,0.342483375
b0423_3,aTc_0,0.947097197
b0423_3,aTc_2,0.558648761
b0423_3,aTc_4,0.358347056
b0423_3,aTc_6,0.325672984
b0423_3,aTc_8,0.284789593
b0423_4,aTc_0,0.88171527
b0423_4,aTc_2,0.477129376
b0423_4,aTc_4,0.318482734
b0423_4,aTc_6,0.307679057
b0423_4,aTc_8,0.278540178
b0440_1,aTc_0,0.999036212
b0440_1,aTc_2,0.934806225
b0440_1,aTc_4,0.878904223
b0440_1,aTc_6,0.86813035
b0440_1,aTc_8,0.871049607
b0440_2,aTc_0,1.010903966
b0440_2,aTc_2,0.974188076
b0440_2,aTc_4,0.937813501
b0440_2,aTc_6,0.942225127
b0440_2,aTc_8,0.976110532
b0440_3,aTc_0,0.850063417
b0440_3,aTc_2,0.827798045
b0440_3,aTc_4,0.783415651
b0440_3,aTc_6,0.753383317
b0440_3,aTc_8,0.760224125
b0440_4,aTc_0,0.861613584
b0440_4,aTc_2,0.831129841
b0440_4,aTc_4,0.794873382
b0440_4,aTc_6,0.786242334
b0440_4,aTc_8,0.791458203
b0607_1,aTc_0,1.029491475
b0607_1,aTc_2,1.033075816
b0607_1,aTc_4,1.008023077
b0607_1,aTc_6,0.985444053
b0607_1,aTc_8,0.997743273
b0607_2,aTc_0,1.046010174
b0607_2,aTc_2,0.997938623
b0607_2,aTc_4,0.982236687
b0607_2,aTc_6,1.007130815
b0607_2,aTc_8,1.039284689
b0607_3,aTc_0,0.881492197
b0607_3,aTc_2,0.920139437
b0607_3,aTc_4,0.96745238
b0607_3,aTc_6,0.873920616
b0607_3,aTc_8,0.878783522
b0607_4,aTc_0,0.86273885
b0607_4,aTc_2,0.896120264
b0607_4,aTc_4,0.872993309
b0607_4,aTc_6,0.899793622
b0607_4,aTc_8,0.899811662
b0623_1,aTc_0,1.107572338
b0623_1,aTc_2,1.045102267
b0623_1,aTc_4,0.986064301
b0623_1,aTc_6,0.996512271
b0623_1,aTc_8,0.9696836
b0623_2,aTc_0,1.081553393
b0623_2,aTc_2,1.005396809
b0623_2,aTc_4,0.988436193
b0623_2,aTc_6,1.011093255
b0623_2,aTc_8,1.026452309
b0623_3,aTc_0,0.909932059
b0623_3,aTc_2,0.873969342
b0623_3,aTc_4,0.859791081
b0623_3,aTc_6,0.81598203
b0623_3,aTc_8,0.857481875
b0623_4,aTc_0,0.928929942
b0623_4,aTc_2,0.865445449
b0623_4,aTc_4,0.844719765
b0623_4,aTc_6,0.851391366
b0623_4,aTc_8,0.885147806
b0642_1,aTc_0,1.004700049
b0642_1,aTc_2,0.459510147
b0642_1,aTc_4,0.293182246
b0642_1,aTc_6,0.246015514
b0642_1,aTc_8,0.246563628
b0642_2,aTc_0,0.995119467
b0642_2,aTc_2,0.433065219
b0642_2,aTc_4,0.294471096
b0642_2,aTc_6,0.279468693
b0642_2,aTc_8,0.269342942
b0642_3,aTc_0,0.870657974
b0642_3,aTc_2,0.338463784
b0642_3,aTc_4,0.413626633
b0642_3,aTc_6,0.349719636
b0642_3,aTc_8,0.377096977
b0642_4,aTc_0,0.937569972
b0642_4,aTc_2,0.305218703
b0642_4,aTc_4,0.377934549
b0642_4,aTc_6,0.393096524
b0642_4,aTc_8,0.362489761
b0695_1,aTc_0,1.189499243
b0695_1,aTc_2,0.855539603
b0695_1,aTc_4,0.772114991
b0695_1,aTc_6,0.810677704
b0695_1,aTc_8,0.772006713
b0695_2,aTc_0,1.109847446
b0695_2,aTc_2,0.847504359
b0695_2,aTc_4,0.794169297
b0695_2,aTc_6,0.797721093
b0695_2,aTc_8,0.813575186
b0695_3,aTc_0,0.993196824
b0695_3,aTc_2,0.705736564
b0695_3,aTc_4,0.693974641
b0695_3,aTc_6,0.668152301
b0695_3,aTc_8,0.686073876
b0695_4,aTc_0,0.983602014
b0695_4,aTc_2,0.693044095
b0695_4,aTc_4,0.710849997
b0695_4,aTc_6,0.722280597
b0695_4,aTc_8,0.716411403
b0780_1,aTc_0,1.094018866
b0780_1,aTc_2,1.088187
b0780_1,aTc_4,1.073244525
b0780_1,aTc_6,0.99770707
b0780_1,aTc_8,1.015128267
b0780_2,aTc_0,1.039993198
b0780_2,aTc_2,1.001866701
b0780_2,aTc_4,0.998896209
b0780_2,aTc_6,1.078940399
b0780_2,aTc_8,1.098706261
b0780_3,aTc_0,0.834415887
b0780_3,aTc_2,0.933583135
b0780_3,aTc_4,0.898345268
b0780_3,aTc_6,0.869772426
b0780_3,aTc_8,0.83560735
b0780_4,aTc_0,0.850053036
b0780_4,aTc_2,0.889029108
b0780_4,aTc_4,0.831759233
b0780_4,aTc_6,0.842581711
b0780_4,aTc_8,0.855375193
b0785_1,aTc_0,1.111647142
b0785_1,aTc_2,1.106068591
b0785_1,aTc_4,1.081158738
b0785_1,aTc_6,1.029180109
b0785_1,aTc_8,1.080226608
b0785_2,aTc_0,1.061257389
b0785_2,aTc_2,1.072085173
b0785_2,aTc_4,0.967931218
b0785_2,aTc_6,1.02705535
b0785_2,aTc_8,1.027693285
b0785_3,aTc_0,0.921340949
b0785_3,aTc_2,0.922881472
b0785_3,aTc_4,0.88899925
b0785_3,aTc_6,0.862403586
b0785_3,aTc_8,0.922869872
b0785_4,aTc_0,0.836515883
b0785_4,aTc_2,0.924838868
b0785_4,aTc_4,0.832720205
b0785_4,aTc_6,0.864310699
b0785_4,aTc_8,0.894859637
b0812_1,aTc_0,1.082417396
b0812_1,aTc_2,1.126131955
b0812_1,aTc_4,1.067838653
b0812_1,aTc_6,0.993882222
b0812_1,aTc_8,0.975670411
b0812_2,aTc_0,1.064588777
b0812_2,aTc_2,1.073619727
b0812_2,aTc_4,1.029978741
b0812_2,aTc_6,1.07000873
b0812_2,aTc_8,1.10884201
b0812_3,aTc_0,0.902335871
b0812_3,aTc_2,0.886384599
b0812_3,aTc_4,0.851897956
b0812_3,aTc_6,0.861062115
b0812_3,aTc_8,0.839364221
b0812_4,aTc_0,0.911624376
b0812_4,aTc_2,0.902117784
b0812_4,aTc_4,0.895979297
b0812_4,aTc_6,0.897253393
b0812_4,aTc_8,0.903682004
b0880_1,aTc_0,1.114489113
b0880_1,aTc_2,0.878592636
b0880_1,aTc_4,0.770685867
b0880_1,aTc_6,0.716679535
b0880_1,aTc_8,0.713035696
b0880_2,aTc_0,1.075768357
b0880_2,aTc_2,0.882260869
b0880_2,aTc_4,0.714024589
b0880_2,aTc_6,0.714037707
b0880_2,aTc_8,0.728009404
b0880_3,aTc_0,0.943691555
b0880_3,aTc_2,0.71585379
b0880_3,aTc_4,0.57218125
