Genes,aTc,W
b0119_1,aTc_0,0.9640609
b0119_1,aTc_2,1.089588604
b0119_1,aTc_4,1.023869855
b0119_1,aTc_6,1.100870869
b0119_1,aTc_8,1.02539703
b0119_2,aTc_0,0.997991358
b0119_2,aTc_2,1.045379608
b0119_2,aTc_4,1.009463015
b0119_2,aTc_6,1.127966214
b0119_2,aTc_8,1.070186254
b0119_3,aTc_0,0.939834934
b0119_3,aTc_2,1.071584462
b0119_3,aTc_4,1.056347151
b0119_3,aTc_6,1.112313686
b0119_3,aTc_8,1.062256112
b0119_4,aTc_0,0.975147626
b0119_4,aTc_2,1.051236855
b0119_4,aTc_4,1.03337354
b0119_4,aTc_6,1.084359815
b0119_4,aTc_8,1.098658577
b0127_1,aTc_0,0.996701778
b0127_1,aTc_2,1.148420627
b0127_1,aTc_4,0.996998401
b0127_1,aTc_6,0.99089
b0127_1,aTc_8,1.01597683
b0127_2,aTc_0,0.944828033
b0127_2,aTc_2,1.034618054
b0127_2,aTc_4,0.946022245
b0127_2,aTc_6,0.985864748
b0127_2,aTc_8,0.927170587
b0127_3,aTc_0,0.96584389
b0127_3,aTc_2,1.07293811
b0127_3,aTc_4,0.973917463
b0127_3,aTc_6,1.000314284
b0127_3,aTc_8,0.971067036
b0127_4,aTc_0,0.938744878
b0127_4,aTc_2,1.061801294
b0127_4,aTc_4,0.920167468
b0127_4,aTc_6,0.981447277
b0127_4,aTc_8,0.978876488
b0179_1,aTc_0,0.995703308
b0179_1,aTc_2,1.069898558
b0179_1,aTc_4,1.006495448
b0179_1,aTc_6,1.040359975
b0179_1,aTc_8,1.047234974
b0179_2,aTc_0,0.994650763
b0179_2,aTc_2,1.082136412
b0179_2,aTc_4,1.058615071
b0179_2,aTc_6,1.145376899
b0179_2,aTc_8,1.129066314
b0179_3,aTc_0,0.93583913
b0179_3,aTc_2,1.096437198
b0179_3,aTc_4,1.02364339
b0179_3,aTc_6,1.049421705
b0179_3,aTc_8,1.050101297
b0179_4,aTc_0,1.007356223
b0179_4,aTc_2,1.101894206
b0179_4,aTc_4,1.009163648
b0179_4,aTc_6,1.140916442
b0179_4,aTc_8,1.127012024
b0215_1,aTc_0,0.943136522
b0215_1,aTc_2,1.084430509
b0215_1,aTc_4,0.973097439
b0215_1,aTc_6,1.021856931
b0215_1,aTc_8,0.982505089
b0215_2,aTc_0,0.938894387
b0215_2,aTc_2,1.077264976
b0215_2,aTc_4,0.986185199
b0215_2,aTc_6,1.091949016
b0215_2,aTc_8,1.070846847
b0215_3,aTc_0,0.949253982
b0215_3,aTc_2,1.035759035
b0215_3,aTc_4,0.956975287
b0215_3,aTc_6,0.995930519
b0215_3,aTc_8,0.969491999
b0215_4,aTc_0,0.953489064
b0215_4,aTc_2,1.053588566
b0215_4,aTc_4,0.986298825
b0215_4,aTc_6,1.032343978
b0215_4,aTc_8,1.036404735
b0423_1,aTc_0,0.946099552
b0423_1,aTc_2,1.041255866
b0423_1,aTc_4,0.547799815
b0423_1,aTc_6,0.435361548
b0423_1,aTc_8,0.377005177
b0423_2,aTc_0,0.914747504
b0423_2,aTc_2,0.909889801
b0423_2,aTc_4,0.506821224
b0423_2,aTc_6,0.466360894
b0423_2,aTc_8,0.390059183
b0423_3,aTc_0,0.957034846
b0423_3,aTc_2,0.736008303
b0423_3,aTc_4,0.456019445
b0423_3,aTc_6,0.395558382
b0423_3,aTc_8,0.326385011
b0423_4,aTc_0,0.90619099
b0423_4,aTc_2,0.600312191
b0423_4,aTc_4,0.390860326
b0423_4,aTc_6,0.383083572
b0423_4,aTc_8,0.340047436
